Epoch,Loss,Accuracy
1,2.932569742202759,0.169921875
2,2.6053388118743896,0.30078125
3,2.1932530403137207,0.39453125
4,1.9498577117919922,0.4326171875
5,1.8251397609710693,0.453125
6,1.7027556896209717,0.4775390625
7,1.6817381381988525,0.5
8,1.5880869626998901,0.5146484375
9,1.5784324407577515,0.513671875
10,1.4945762157440186,0.51953125
11,1.4380650520324707,0.546875
12,1.429341435432434,0.5322265625
13,1.427263855934143,0.5576171875
14,1.3205925226211548,0.576171875
15,1.3171772956848145,0.576171875
16,1.2776131629943848,0.580078125
17,1.2620800733566284,0.603515625
18,1.2308168411254883,0.587890625
19,1.2127290964126587,0.5966796875
20,1.1790533065795898,0.6181640625
21,1.1406209468841553,0.6259765625
22,1.135650873184204,0.625
23,1.1152629852294922,0.634765625
24,1.0586090087890625,0.654296875
25,1.04630446434021,0.65234375
26,1.0496954917907715,0.6552734375
27,1.008347988128662,0.66796875
28,0.9690476059913635,0.681640625
29,0.9390347003936768,0.673828125
30,0.9056396484375,0.703125
31,0.9271425008773804,0.689453125
32,0.8711163401603699,0.7001953125
33,0.854270339012146,0.724609375
34,0.845638632774353,0.720703125
35,0.7951550483703613,0.7431640625
36,0.7840135097503662,0.7412109375
37,0.7426365613937378,0.7509765625
38,0.7267366647720337,0.7626953125
39,0.7146578431129456,0.78515625
40,0.6758654713630676,0.7744140625
41,0.6520158052444458,0.77734375
42,0.6306033134460449,0.7919921875
43,0.6243066787719727,0.787109375
44,0.5949470400810242,0.8037109375
45,0.5793206691741943,0.8115234375
46,0.5815393924713135,0.796875
47,0.5374460220336914,0.8271484375
48,0.5141113996505737,0.8349609375
49,0.5101404190063477,0.8349609375
50,0.494623601436615,0.8447265625
51,0.4663691222667694,0.84375
52,0.4594064950942993,0.857421875
53,0.4268091917037964,0.8642578125
54,0.4155188202857971,0.8623046875
55,0.40043485164642334,0.8671875
56,0.40672633051872253,0.8671875
57,0.3886870741844177,0.8681640625
58,0.3819895386695862,0.873046875
59,0.33991312980651855,0.8916015625
60,0.32518988847732544,0.8955078125
61,0.32200413942337036,0.900390625
62,0.32114750146865845,0.8994140625
63,0.2987518906593323,0.912109375
64,0.28741803765296936,0.9150390625
65,0.2827686369419098,0.916015625
66,0.28740477561950684,0.9072265625
67,0.2569400370121002,0.91796875
68,0.26577720046043396,0.919921875
69,0.24542972445487976,0.92578125
70,0.24510246515274048,0.92578125
71,0.24238038063049316,0.9287109375
72,0.22782492637634277,0.923828125
73,0.22980909049510956,0.923828125
74,0.1951020359992981,0.9423828125
75,0.2246999442577362,0.9248046875
76,0.20948240160942078,0.9365234375
77,0.19919580221176147,0.9345703125
78,0.16571155190467834,0.9541015625
79,0.19345618784427643,0.939453125
80,0.19780471920967102,0.935546875
81,0.18678775429725647,0.94921875
82,0.1591789424419403,0.9521484375
83,0.15840882062911987,0.9482421875
84,0.14390374720096588,0.9501953125
85,0.15958397090435028,0.9462890625
86,0.14497110247612,0.9541015625
87,0.16024352610111237,0.9462890625
88,0.13902901113033295,0.955078125
89,0.13128839433193207,0.953125
90,0.1359316110610962,0.962890625
91,0.14394915103912354,0.9521484375
92,0.1565559357404709,0.94921875
93,0.10937336087226868,0.97265625
94,0.10803116112947464,0.970703125
95,0.1208292543888092,0.9521484375
96,0.11264503002166748,0.9697265625
97,0.11793060600757599,0.962890625
98,0.11307251453399658,0.9697265625
99,0.1091722697019577,0.966796875
100,0.10114908218383789,0.9716796875
